Time,ObjectCount,FPS,FrameTime(ms),PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.33,5000,261.7,3.8212,0.6765,736,5000
0.33,5000,539.5,1.8537,0.0000,736,5000
0.34,5000,414.8,2.4107,0.0000,736,5000
0.34,5000,353.2,2.8316,0.0000,736,5000
0.34,5000,385.9,2.5913,0.0000,736,5000
0.34,5000,473.9,2.1103,0.0000,736,5000
0.35,5000,476.7,2.0979,0.0000,736,5000
0.35,5000,544.6,1.8361,0.0000,736,5000
0.35,5000,253.7,3.9420,0.8524,736,5000
0.35,5000,350.6,2.8524,0.0000,736,5000
0.37,5000,87.0,11.4954,0.0000,737,5000
0.37,5000,494.6,2.0218,0.0000,737,5000
0.37,5000,226.0,4.4241,0.8798,737,5000
0.37,5000,539.1,1.8549,0.0000,737,5000
0.38,5000,384.8,2.5990,0.0000,737,5000
0.38,5000,459.3,2.1774,0.0000,737,5000
0.38,5000,537.9,1.8591,0.0000,737,5000
0.38,5000,550.5,1.8165,0.0000,737,5000
0.38,5000,558.8,1.7895,0.0000,737,5000
0.39,5000,393.1,2.5440,0.0000,737,5000
0.39,5000,397.4,2.5162,0.0000,737,5000
0.39,5000,253.1,3.9517,0.7274,737,5000
0.40,5000,345.7,2.8929,0.0000,737,5000
0.40,5000,549.1,1.8213,0.0000,737,5000
0.40,5000,403.7,2.4771,0.0000,737,5000
0.40,5000,467.4,2.1395,0.0000,737,5000
0.41,5000,250.5,3.9924,0.0000,735,5000
0.41,5000,363.5,2.7507,0.0000,736,5000
0.41,5000,215.4,4.6421,0.8790,736,5000
0.42,5000,524.3,1.9073,0.0000,736,5000
0.42,5000,344.6,2.9019,0.0000,736,5000
0.42,5000,503.1,1.9877,0.0000,736,5000
0.42,5000,487.1,2.0528,0.0000,736,5000
0.43,5000,363.6,2.7501,0.0000,736,5000
0.43,5000,545.4,1.8334,0.0000,736,5000
0.43,5000,264.8,3.7766,0.7149,736,5000
0.43,5000,361.1,2.7692,0.0000,736,5000
0.44,5000,401.6,2.4899,0.0000,736,5000
0.44,5000,391.1,2.5566,0.0000,736,5000
0.44,5000,337.6,2.9621,0.0000,736,5000
0.44,5000,543.9,1.8386,0.0000,736,5000
0.45,5000,550.3,1.8173,0.0000,736,5000
0.45,5000,437.3,2.2868,0.0000,736,5000
0.45,5000,233.6,4.2800,0.8288,736,5000
0.45,5000,524.8,1.9054,0.0000,736,5000
0.46,5000,547.0,1.8283,0.0000,736,5000
0.46,5000,416.6,2.4004,0.0000,736,5000
0.46,5000,501.9,1.9923,0.0000,736,5000
0.46,5000,540.1,1.8516,0.0000,736,5000
0.46,5000,376.4,2.6564,0.0000,736,5000
0.47,5000,402.1,2.4870,0.0000,736,5000
0.47,5000,219.4,4.5586,0.8576,737,5000
0.47,5000,371.1,2.6945,0.0000,737,5000
0.48,5000,529.6,1.8881,0.0000,737,5000
0.48,5000,507.8,1.9693,0.0000,737,5000
0.48,5000,408.5,2.4480,0.0000,737,5000
0.48,5000,411.1,2.4323,0.0000,737,5000
0.49,5000,401.8,2.4887,0.0000,737,5000
0.49,5000,407.1,2.4566,0.0000,737,5000
0.49,5000,271.8,3.6792,0.8014,737,5000
0.49,5000,400.9,2.4944,0.0000,737,5000
0.50,5000,558.6,1.7903,0.0000,737,5000
0.50,5000,553.1,1.8081,0.0000,737,5000
0.50,5000,398.6,2.5085,0.0000,737,5000
