Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.26,1000,699.2,0.0000,1144,1000
0.26,1000,673.9,0.0000,1144,1000
0.26,1000,698.7,0.0000,1144,1000
0.26,1000,659.8,0.0000,1144,1000
0.26,1000,669.0,0.0000,1144,1000
0.27,1000,539.0,0.0000,1144,1000
0.27,1000,543.0,0.0000,1144,1000
0.27,1000,649.9,0.0000,1144,1000
0.27,1000,643.7,0.0000,1144,1000
0.27,1000,656.8,0.0000,1144,1000
0.27,1000,472.9,0.3055,1145,1000
0.28,1000,669.0,0.0000,1145,1000
0.28,1000,618.1,0.0000,1145,1000
0.28,1000,659.0,0.0000,1145,1000
0.28,1000,643.7,0.0000,1145,1000
0.28,1000,700.3,0.0000,1145,1000
0.28,1000,701.2,0.0000,1145,1000
0.28,1000,707.2,0.0000,1145,1000
0.29,1000,700.1,0.0000,1145,1000
0.29,1000,711.4,0.0000,1145,1000
0.29,1000,704.6,0.0000,1145,1000
0.29,1000,688.2,0.0000,1145,1000
0.29,1000,698.2,0.0000,1145,1000
0.29,1000,403.1,0.4150,1145,1000
0.30,1000,612.5,0.0000,1146,1000
0.30,1000,649.7,0.0000,1146,1000
0.30,1000,683.5,0.0000,1146,1000
0.30,1000,649.0,0.0000,1146,1000
0.30,1000,634.9,0.0000,1146,1000
0.30,1000,651.2,0.0000,1146,1000
0.31,1000,651.6,0.0000,1146,1000
0.31,1000,647.0,0.0000,1146,1000
0.31,1000,655.1,0.0000,1146,1000
0.31,1000,614.1,0.0000,1146,1000
0.31,1000,559.6,0.0000,1146,1000
0.31,1000,409.0,0.2627,1146,1000
0.32,1000,680.7,0.0000,1146,1000
0.32,1000,677.6,0.0000,1146,1000
0.32,1000,665.4,0.0000,1146,1000
0.32,1000,693.8,0.0000,1146,1000
0.32,1000,639.6,0.0000,1146,1000
0.32,1000,536.3,0.0000,1146,1000
0.33,1000,595.3,0.0000,1147,1000
0.33,1000,678.4,0.0000,1147,1000
0.33,1000,631.0,0.0000,1147,1000
0.33,1000,692.9,0.0000,1147,1000
0.33,1000,663.8,0.0000,1147,1000
0.33,1000,640.6,0.0000,1147,1000
0.33,1000,498.5,0.2691,1147,1000
0.34,1000,687.2,0.0000,1147,1000
0.34,1000,687.0,0.0000,1147,1000
0.34,1000,672.9,0.0000,1147,1000
0.34,1000,705.4,0.0000,1147,1000
0.34,1000,687.1,0.0000,1147,1000
0.34,1000,680.6,0.0000,1147,1000
0.34,1000,699.9,0.0000,1147,1000
0.35,1000,697.7,0.0000,1147,1000
0.35,1000,702.4,0.0000,1147,1000
0.35,1000,711.6,0.0000,1147,1000
0.35,1000,703.3,0.0000,1148,1000
0.35,1000,681.3,0.0000,1148,1000
0.35,1000,462.9,0.2944,1148,1000
0.36,1000,554.0,0.0000,1148,1000
0.36,1000,685.8,0.0000,1148,1000
0.36,1000,573.2,0.0000,1148,1000
0.36,1000,688.6,0.0000,1148,1000
0.36,1000,689.0,0.0000,1148,1000
0.36,1000,660.0,0.0000,1148,1000
0.37,1000,695.6,0.0000,1148,1000
0.37,1000,701.1,0.0000,1148,1000
0.37,1000,644.8,0.0000,1148,1000
0.37,1000,661.6,0.0000,1149,1000
0.37,1000,699.8,0.0000,1149,1000
0.37,1000,646.5,0.0000,1149,1000
0.37,1000,465.7,0.2392,1149,1000
0.38,1000,637.4,0.0000,1149,1000
0.38,1000,583.8,0.0000,1149,1000
0.38,1000,598.9,0.0000,1149,1000
0.38,1000,648.4,0.0000,1149,1000
0.38,1000,641.4,0.0000,1149,1000
0.38,1000,632.1,0.0000,1149,1000
0.39,1000,654.8,0.0000,1149,1000
0.39,1000,686.9,0.0000,1149,1000
0.39,1000,689.9,0.0000,1149,1000
0.39,1000,668.2,0.0000,1149,1000
0.39,1000,672.9,0.0000,1149,1000
0.39,1000,478.9,0.3045,1150,1000
0.40,1000,691.2,0.0000,1150,1000
0.40,1000,712.8,0.0000,1150,1000
0.40,1000,696.2,0.0000,1150,1000
0.40,1000,695.9,0.0000,1150,1000
0.41,1000,143.8,0.0000,1150,1000
0.41,1000,611.0,0.0000,1147,1000
0.41,1000,627.0,0.0000,1147,1000
0.41,1000,682.5,0.0000,1147,1000
0.41,1000,699.4,0.0000,1147,1000
0.41,1000,445.4,0.3815,1147,1000
0.42,1000,628.1,0.0000,1148,1000
0.42,1000,708.0,0.0000,1148,1000
0.42,1000,608.9,0.0000,1148,1000
0.42,1000,667.6,0.0000,1148,1000
0.42,1000,630.9,0.0000,1148,1000
0.42,1000,690.6,0.0000,1148,1000
0.43,1000,585.6,0.0000,1148,1000
0.43,1000,671.2,0.0000,1148,1000
0.43,1000,689.4,0.0000,1148,1000
0.43,1000,577.2,0.0000,1148,1000
0.43,1000,685.3,0.0000,1148,1000
0.43,1000,482.0,0.2853,1148,1000
0.44,1000,697.2,0.0000,1148,1000
0.44,1000,687.3,0.0000,1148,1000
0.44,1000,686.5,0.0000,1148,1000
0.44,1000,672.4,0.0000,1148,1000
0.44,1000,702.9,0.0000,1148,1000
0.44,1000,685.7,0.0000,1148,1000
0.44,1000,694.7,0.0000,1148,1000
0.45,1000,694.3,0.0000,1147,1000
0.45,1000,685.7,0.0000,1147,1000
0.45,1000,681.5,0.0000,1147,1000
0.45,1000,698.8,0.0000,1147,1000
0.45,1000,707.4,0.0000,1147,1000
0.45,1000,664.5,0.0000,1147,1000
0.45,1000,470.5,0.2586,1147,1000
0.46,1000,679.8,0.0000,1147,1000
0.46,1000,684.5,0.0000,1147,1000
0.46,1000,688.8,0.0000,1147,1000
0.46,1000,680.1,0.0000,1147,1000
0.46,1000,662.8,0.0000,1147,1000
0.46,1000,700.4,0.0000,1146,1000
0.47,1000,692.5,0.0000,1146,1000
0.47,1000,689.1,0.0000,1146,1000
0.47,1000,670.9,0.0000,1146,1000
0.47,1000,672.9,0.0000,1146,1000
0.47,1000,684.6,0.0000,1146,1000
0.47,1000,679.9,0.0000,1146,1000
0.47,1000,450.8,0.2969,1146,1000
0.48,1000,678.5,0.0000,1146,1000
0.48,1000,689.4,0.0000,1146,1000
0.48,1000,635.1,0.0000,1146,1000
0.48,1000,688.1,0.0000,1146,1000
0.48,1000,632.3,0.0000,1146,1000
0.48,1000,674.2,0.0000,1146,1000
0.49,1000,668.8,0.0000,1146,1000
0.49,1000,585.5,0.0000,1146,1000
0.49,1000,694.3,0.0000,1145,1000
0.49,1000,561.4,0.0000,1145,1000
0.49,1000,688.7,0.0000,1145,1000
0.49,1000,442.2,0.3218,1145,1000
0.50,1000,702.0,0.0000,1145,1000
0.50,1000,566.5,0.0000,1145,1000
0.50,1000,611.9,0.0000,1145,1000
0.50,1000,541.1,0.0000,1145,1000
0.50,1000,651.2,0.0000,1145,1000
0.50,1000,633.6,0.0000,1145,1000
0.51,1000,673.5,0.0000,1145,1000
0.51,1000,675.4,0.0000,1145,1000
0.51,1000,693.0,0.0000,1145,1000
0.51,1000,676.3,0.0000,1144,1000
0.51,1000,691.2,0.0000,1144,1000
0.51,1000,650.3,0.0000,1144,1000
0.52,1000,382.7,0.3022,1144,1000
0.52,1000,669.0,0.0000,1144,1000
0.52,1000,680.2,0.0000,1144,1000
0.52,1000,623.0,0.0000,1144,1000
0.52,1000,663.5,0.0000,1144,1000
0.52,1000,683.9,0.0000,1144,1000
0.52,1000,657.4,0.0000,1144,1000
0.53,1000,692.5,0.0000,1144,1000
0.53,1000,681.2,0.0000,1144,1000
0.53,1000,680.0,0.0000,1144,1000
0.53,1000,695.8,0.0000,1144,1000
0.53,1000,547.2,0.0000,1144,1000
0.53,1000,436.9,0.3753,1144,1000
0.54,1000,582.6,0.0000,1144,1000
0.54,1000,684.6,0.0000,1144,1000
0.54,1000,674.8,0.0000,1144,1000
0.54,1000,579.2,0.0000,1144,1000
0.54,1000,663.0,0.0000,1144,1000
0.54,1000,666.4,0.0000,1144,1000
0.55,1000,591.2,0.0000,1144,1000
